Sample ID	Contig	RGI cutoff	Gene Name	Percentage identity	ARO	Other genes on same contig	Top BlastN Hit against nr-nt	Top Kmer hits
UC-20-2	NODE_62_length_1374_cov_4.694466_1	Perfect	ErmQ	100	3000593	None	"Clostridium perfringens JUM001 DNA, complete genome  "	None
RT-16-2	NODE_52_length_2442_cov_52.869711_3	Strict	ErmT	98.77	3000595	None	Enterococcus faecium strain ME3 chromosome	Streptococcus suis (chromosome or plasmid): 2
RT-17-1	NODE_12_length_6122_cov_236.173727_2	Strict	ErmT	99.18	3000595	"tet(45), tetM"	Streptococcus gallolyticus strain FDAARGOS_666 chromosome 	Streptococcus suis (chromosome or plasmid): 7
RT-17-2	NODE_26_length_2309_cov_479.373558_2	Strict	ErmT	99.18	3000595	None	"Enterococcus faecium strain VB3378 chromosome, complete genome"	Klebsiella pneumoniae (chromosome or plasmid): 16
RT-18-2	NODE_83_length_1409_cov_21.401773_1	Strict	ErmT	99.18	3000595	None	Streptococcus gallolyticus strain FDAARGOS_666 chromosome	None
UC-21-2	NODE_116_length_1360_cov_6.500383_1	Strict	ErmT	99.18	3000595	None	Streptococcus gallolyticus strain FDAARGOS_666 chromosome	None
RT-19-1	NODE_55_length_1353_cov_20.383667_1	Strict	ErmT	99.18	3000595	None	Streptococcus gallolyticus strain FDAARGOS_666 chromosome	None
RT-19-2	NODE_204_length_1276_cov_39.064701_1	Strict	ErmT	99.18	3000595	None	Streptococcus gallolyticus strain FDAARGOS_666 chromosome  	Streptococcus suis (chromosome or plasmid): 2
UC-22-1	NODE_139_length_1694_cov_4.672971_2	Strict	ErmT	99.18	3000595	None	Streptococcus gallolyticus strain FDAARGOS_666 chromosome	None
RT-20-1	NODE_223_length_2923_cov_16.724895_1	Strict	ErmT	99.18	3000595	tet(45)	Streptococcus gallolyticus strain FDAARGOS_666 chromosome	None
RT-20-2	NODE_36_length_2088_cov_68.656665_1	Strict	ErmT	99.18	3000595	None	Streptococcus gallolyticus strain FDAARGOS_666 chromosome 	Staphylococcus aureus (chromosome or plasmid): 1
RT-21-2	NODE_49_length_1552_cov_18.080828_2	Strict	ErmT	99.18	3000595	None	Streptococcus gallolyticus strain FDAARGOS_666 chromosome	Enterococcus faecium (chromosome or plasmid): 1
UC-23-2	NODE_36_length_1639_cov_39.484848_1	Strict	ErmT	99.18	3000595	None	Streptococcus gallolyticus strain FDAARGOS_666 chromosome	Enterococcus faecium (chromosome or plasmid): 1
RT-22-2	NODE_87_length_1411_cov_17.509587_2	Strict	ErmT	99.18	3000595	None	Streptococcus gallolyticus strain FDAARGOS_666 chromosome	None
RT-23-2	NODE_381_length_1634_cov_24.456618_1	Strict	ErmT	99.18	3000595	None	Streptococcus gallolyticus strain FDAARGOS_666 chromosome 	Enterococcus faecium (chromosome or plasmid): 1
UC-24-1	NODE_41_length_2152_cov_81.103004_1	Strict	ErmT	99.18	3000595	None	Streptococcus infantarius strain ICDDRB-NRC-S5 chromosome	Escherichia coli (chromosome or plasmid): 1
UC-24-2	NODE_54_length_1625_cov_12.044586_1	Strict	ErmT	99.18	3000595	None	Streptococcus gallolyticus strain FDAARGOS_666 chromosome   	None
RT-24-2	NODE_9_length_5599_cov_183.352814_3	Strict	ErmT	99.18	3000595	"tetM, tet(45)"	Streptococcus gallolyticus strain FDAARGOS_666 chromosome 	Streptococcus suis (chromosome or plasmid): 4
RT-25-2	NODE_601_length_1341_cov_178.373250_1	Strict	ErmT	99.18	3000595	None	Streptococcus infantarius strain ICDDRB-NRC-S5 chromosome	Streptococcus suis (chromosome or plasmid): 1
RT-26-2	NODE_60_length_1907_cov_60.185745_2	Strict	ErmT	99.18	3000595	None	"Enterococcus faecalis strain E165 plasmid pE165, complete"	Streptococcus suis (chromosome or plasmid): 1
RT-27-1	NODE_45_length_1089_cov_3.252418_1	Strict	ErmT	95.71	3000595	None	Streptococcus pyogenes strain TSPY556 plasmid pRW35-like	None
RT-27-2	NODE_31_length_1878_cov_74.406473_1	Strict	ErmT	99.18	3000595	None	"Enterococcus faecalis strain E165 plasmid pE165, complete"	Streptococcus suis (chromosome or plasmid): 2
RT-28-1	NODE_28_length_1952_cov_28.640485_2	Strict	ErmT	99.18	3000595	None	Streptococcus infantarius strain ICDDRB-NRC-S5 chromosome	Escherichia coli (chromosome or plasmid): 1
RT-29-1	NODE_75_length_1436_cov_42.534395_1	Strict	ErmT	99.18	3000595	None	Streptococcus gallolyticus strain FDAARGOS_666 chromosome	Escherichia coli (chromosome or plasmid): 1
RT-29-2	NODE_19_length_3152_cov_607.293187_3	Strict	ErmT	99.18	3000595	None	"Enterococcus faecium strain V13-21-E11-012-001 chromosome,"	Streptococcus suis (chromosome or plasmid): 24
UC-25-1	NODE_36_length_1896_cov_140.677892_2	Strict	ErmT	99.18	3000595	None	Streptococcus gallolyticus strain FDAARGOS_666 chromosome 	Streptococcus suis (chromosome or plasmid): 4
UC-25-2	NODE_25_length_3109_cov_3283.875900_2	Strict	ErmT	99.18	3000595	None	Streptococcus gallolyticus strain FDAARGOS_666 chromosome	Streptococcus suis (chromosome or plasmid): 143
UC-27-1	NODE_132_length_1120_cov_4.901408_1	Strict	ErmT	99.18	3000595	None	Streptococcus agalactiae strain NGBS128 plasmid pNGBS128	None
UC-27-2	NODE_43_length_1692_cov_121.655467_2	Strict	ErmT	99.18	3000595	None	"Enterococcus faecalis strain E165 plasmid pE165, complete"	Streptococcus suis (chromosome or plasmid): 1
UC-28-2	NODE_12_length_3505_cov_94.547536_2	Strict	ErmT	99.18	3000595	tet(45)	Streptococcus gallolyticus strain FDAARGOS_666 chromosome  	Streptococcus suis (chromosome or plasmid): 2
UC-29-2	NODE_400_length_1644_cov_32.779106_2	Strict	ErmT	98.77	3000595	None	Streptococcus infantarius strain ICDDRB-NRC-S5 chromosome	Staphylococcus (chromosome or plasmid): 1
RT-30-1	NODE_27_length_2445_cov_647.385774_1	Strict	ErmT	99.18	3000595	None	Enterococcus faecium strain ME3 chromosome 	Escherichia coli (chromosome or plasmid): 24
RT-30-2	NODE_185_length_1524_cov_114.666440_1	Strict	ErmT	99.18	3000595	None	"Enterococcus faecalis strain E165 plasmid pE165, complete"	Klebsiella pneumoniae (chromosome or plasmid): 2
RT-31-1	NODE_8_length_5834_cov_376.583665_5	Strict	ErmT	99.18	3000595	None	"Escherichia coli strain SCU-106 chromosome, complete genome"	Staphylococcus aureus (chromosome or plasmid): 1
RT-31-2	NODE_16_length_3723_cov_795.438931_2	Strict	ErmT	99.18	3000595	None	Streptococcus gallolyticus strain FDAARGOS_666 chromosome 	Streptococcus suis (chromosome or plasmid): 41
UC-30-1	NODE_43_length_1338_cov_31.972720_1	Strict	ErmT	99.18	3000595	None	Streptococcus infantarius strain ICDDRB-NRC-S5 chromosome	Klebsiella pneumoniae (chromosome or plasmid): 1
UC-31-2	NODE_14_length_2942_cov_95.175268_2	Strict	ErmT	99.18	3000595	tet(45)	Streptococcus gallolyticus strain FDAARGOS_666 chromosome	None
UC-32-1	NODE_1616_length_1056_cov_2.247752_1	Strict	ErmT	99.18	3000595	None	"Staphylococcus sp. T93 plasmid pT93, complete sequence   "	Staphylococcus (chromosome or plasmid): 1
UC-32-2	NODE_153_length_1026_cov_611.715757_1	Strict	ErmT	99.18	3000595	None	Streptococcus gallolyticus strain FDAARGOS_666 chromosome 	Streptococcus suis (chromosome or plasmid): 8
UC-33-2	NODE_29_length_2200_cov_1032.243823_2	Strict	ErmT	99.18	3000595	None	"Enterococcus faecalis strain E165 plasmid pE165, complete"	Klebsiella pneumoniae (chromosome or plasmid): 28
UC-34-2	NODE_73_length_1664_cov_48.304537_1	Strict	ErmT	99.18	3000595	None	"Enterococcus faecalis strain E165 plasmid pE165, complete"	Streptococcus suis (chromosome or plasmid): 1
RT-32-2	NODE_17_length_3070_cov_403.023217_1	Strict	ErmT	99.18	3000595	tet(45)	Streptococcus gallolyticus strain FDAARGOS_666 chromosome	Streptococcus suis (chromosome or plasmid): 13
RT-33-1	NODE_71_length_1640_cov_40.186751_1	Strict	ErmT	99.18	3000595	None	Streptococcus gallolyticus strain FDAARGOS_666 chromosome    	Streptococcus suis (chromosome or plasmid): 2
RT-33-2	NODE_13_length_3333_cov_67.258999_2	Strict	ErmT	99.18	3000595	tet(45)	Streptococcus gallolyticus strain FDAARGOS_666 chromosome	Lactobacillus crispatus (chromosome or plasmid): 1
RT-34-2	NODE_285_length_3254_cov_62.532666_1	Strict	ErmT	99.18	3000595	tet(45)	"Enterococcus faecium strain Dallas 163_1 chromosome, complete"	Streptococcus suis (chromosome or plasmid): 2
UC-1-2	NODE_49_length_1416_cov_19.258633_1	Strict	ErmT	99.18	3000595	None	Streptococcus gallolyticus strain FDAARGOS_666 chromosome	None
UC-2-1	NODE_2002_length_703_cov_3.089506_1	Strict	ErmT	98.7	3000595	None	Streptococcus gallolyticus strain FDAARGOS_666 chromosome	None
UC-2-2	NODE_35_length_2156_cov_88.768206_2	Strict	ErmT	99.18	3000595	None	Streptococcus gallolyticus strain FDAARGOS_666 chromosome	Streptococcus suis (chromosome or plasmid): 6
RT-1-1	NODE_73_length_2442_cov_609.395057_1	Strict	ErmT	99.18	3000595	None	Enterococcus faecium strain ME3 chromosome 	Streptococcus suis (chromosome or plasmid): 25
RT-2-1	NODE_35_length_2168_cov_96.987695_1	Strict	ErmT	99.18	3000595	None	Streptococcus gallolyticus strain FDAARGOS_666 chromosome	Escherichia coli (chromosome or plasmid): 2
RT-2-2	NODE_29_length_2354_cov_170.255763_3	Strict	ErmT	98.77	3000595	None	"Enterococcus faecalis strain E165 plasmid pE165, complete"	Streptococcus suis (chromosome or plasmid): 2
RT-3-1	NODE_298_length_1585_cov_17.026144_1	Strict	ErmT	99.18	3000595	None	"Enterococcus faecalis strain E165 plasmid pE165, complete"	Staphylococcus aureus (chromosome or plasmid): 1
RT-5-2	NODE_39_length_2036_cov_58.293791_2	Strict	ErmT	99.18	3000595	None	"Enterococcus faecalis strain E165 plasmid pE165, complete"	Streptococcus suis (chromosome or plasmid): 2
UC-3-2	NODE_22_length_2350_cov_738.290632_2	Strict	ErmT	99.18	3000595	None	Streptococcus gallolyticus strain FDAARGOS_666 chromosome 	Streptococcus suis (chromosome or plasmid): 22
UC-4-1	NODE_7_length_5797_cov_104.236329_2	Strict	ErmT	99.18	3000595	"tet(45), tetM"	Streptococcus gallolyticus strain FDAARGOS_666 chromosome	Staphylococcus (chromosome or plasmid): 1
UC-5-1	NODE_36_length_1398_cov_14.657483_1	Strict	ErmT	99.18	3000595	None	"Bacillus sp. #24 plasmid pBHS24B, complete sequence"	None
UC-5-2	NODE_32_length_2176_cov_329.320603_2	Strict	ErmT	99.18	3000595	None	"Enterococcus faecalis strain E165 plasmid pE165, complete"	Streptococcus suis (chromosome or plasmid): 8
UC-6-2	NODE_45_length_2186_cov_521.151572_2	Strict	ErmT	99.18	3000595	None	"Enterococcus faecalis strain E165 plasmid pE165, complete"	Streptococcus suis (chromosome or plasmid): 12
UC-7-2	NODE_485_length_2220_cov_186.627714_2	Strict	ErmT	99.18	3000595	None	"Enterococcus faecalis strain E165 plasmid pE165, complete"	Streptococcus suis (chromosome or plasmid): 7
UC-8-1	NODE_17_length_3150_cov_105.003554_1	Strict	ErmT	99.18	3000595	tet(L)	"Staphylococcus sp. T93 plasmid pT93, complete sequence"	Lactobacillus crispatus (chromosome or plasmid): 1
UC-8-2	NODE_76_length_1283_cov_20.276059_1	Strict	ErmT	99.18	3000595	None	"Enterococcus faecalis strain E165 plasmid pE165, complete"	Streptococcus suis (chromosome or plasmid): 1
RT-7-2	NODE_30_length_3202_cov_151.470607_1	Strict	ErmT	99.18	3000595	tet(45)	"Staphylococcus sp. T93 plasmid pT93, complete sequence  "	None
UC-9-1	NODE_353_length_1341_cov_6535.323484_1	Strict	ErmT	99.18	3000595	None	Streptococcus infantarius strain ICDDRB-NRC-S5 chromosome	Streptococcus suis (chromosome or plasmid): 142
UC-9-2	NODE_1_length_6669_cov_501.494406_4	Strict	ErmT	99.18	3000595	"tetM, tet(L)"	"Staphylococcus sp. T93 plasmid pT93, complete sequence"	Streptococcus suis (chromosome or plasmid): 5
RT-8-1	NODE_32_length_1635_cov_31.162658_1	Strict	ErmT	99.18	3000595	None	Streptococcus gallolyticus strain FDAARGOS_666 chromosome	Streptococcus suis (chromosome or plasmid): 1
UC-10-2	NODE_94_length_1633_cov_1183.134347_1	Strict	ErmT	99.18	3000595	None	Streptococcus gallolyticus strain FDAARGOS_666 chromosome	Klebsiella pneumoniae (chromosome or plasmid): 24
UC-11-2	NODE_35_length_2152_cov_1231.732952_1	Strict	ErmT	99.02	3000595	None	Streptococcus infantarius strain ICDDRB-NRC-S5 chromosome	Streptococcus suis (chromosome or plasmid): 36
UC-12-1	NODE_21_length_2152_cov_632.893658_1	Strict	ErmT	99.18	3000595	None	Streptococcus infantarius strain ICDDRB-NRC-S5 chromosome	Streptococcus suis (chromosome or plasmid): 16
UC-12-2	NODE_131_length_1341_cov_3089.017885_1	Strict	ErmT	99.18	3000595	None	Streptococcus infantarius strain ICDDRB-NRC-S5 chromosome	Streptococcus suis (chromosome or plasmid): 57
UC-13-1	NODE_55_length_1915_cov_291.831183_2	Strict	ErmT	99.18	3000595	None	Streptococcus gallolyticus strain FDAARGOS_666 chromosome  	Streptococcus suis (chromosome or plasmid): 7
UC-13-2	NODE_22_length_3323_cov_559.051714_4	Strict	ErmT	99.18	3000595	None	Streptococcus gallolyticus strain FDAARGOS_666 chromosome 	Streptococcus suis (chromosome or plasmid): 26
RT-9-1	NODE_80_length_794_cov_4.519621_1	Strict	ErmT	99.03	3000595	None	Streptococcus gallolyticus strain FDAARGOS_666 chromosome	None
RT-9-2	NODE_4_length_6758_cov_1288.408026_3	Strict	ErmT	99.18	3000595	tet(45)	Streptococcus gallolyticus strain FDAARGOS_666 chromosome	Klebsiella pneumoniae (chromosome or plasmid): 27
RT-10-1	NODE_31_length_2380_cov_137.769032_2	Strict	ErmT	99.18	3000595	None	Streptococcus gallolyticus strain FDAARGOS_666 chromosome	Streptococcus suis (chromosome or plasmid): 5
RT-10-2	NODE_361_length_2442_cov_354.161709_1	Strict	ErmT	99.18	3000595	None	Enterococcus faecium strain ME3 chromosome	Streptococcus suis (chromosome or plasmid): 8
RT-11-2	NODE_47_length_1963_cov_69.117400_1	Strict	ErmT	99.18	3000595	None	"Enterococcus faecalis strain E165 plasmid pE165, complete"	Staphylococcus (chromosome or plasmid): 2
UC-14-1	NODE_49_length_1590_cov_461.506189_1	Strict	ErmT	99.18	3000595	None	Streptococcus gallolyticus strain FDAARGOS_666 chromosome	Streptococcus suis (chromosome or plasmid): 10
UC-14-2	NODE_56_length_1601_cov_213.942432_1	Strict	ErmT	99.18	3000595	None	"Enterococcus faecalis strain E165 plasmid pE165, complete"	Streptococcus suis (chromosome or plasmid): 11
UC-15-1	NODE_5_length_6116_cov_857.563768_2	Strict	ErmT	99.18	3000595	"tet(45), tetM"	Streptococcus gallolyticus strain FDAARGOS_666 chromosome	Streptococcus suis (chromosome or plasmid): 13
UC-15-2	NODE_37_length_1837_cov_90.447811_2	Strict	ErmT	99.18	3000595	None	Streptococcus gallolyticus strain FDAARGOS_666 chromosome	Streptococcus suis (chromosome or plasmid): 2
UC-16-2	NODE_7_length_5018_cov_1739.599033_1	Strict	ErmT	99.18	3000595	"tet(45), tetM"	Streptococcus gallolyticus strain FDAARGOS_666 chromosome	Streptococcus suis (chromosome or plasmid): 1
RT-12-2	NODE_235_length_1735_cov_60.441667_2	Strict	ErmT	99.18	3000595	None	"Enterococcus faecium isolate E7040 genome assembly, plasmid: 3"	Streptococcus suis (chromosome or plasmid): 1
UC-17-1	NODE_72_length_850_cov_1.827673_1	Strict	ErmT	98.77	3000595	None	Streptococcus gallolyticus strain FDAARGOS_666 chromosome 	None
UC-18-1	NODE_46_length_2152_cov_871.831664_1	Strict	ErmT	99.18	3000595	None	Streptococcus infantarius strain ICDDRB-NRC-S5 chromosome	Streptococcus suis (chromosome or plasmid): 31
UC-19-1	NODE_77_length_3456_cov_7.480153_2	Strict	ErmT	99.18	3000595	tet(45)	Streptococcus gallolyticus strain FDAARGOS_666 chromosome	None
UC-19-2	NODE_58_length_1647_cov_94.692839_2	Strict	ErmT	99.18	3000595	None	"Enterococcus faecium strain Dallas 163_1 chromosome, complete"	Streptococcus suis (chromosome or plasmid): 1
RT-13-1	NODE_680_length_1032_cov_2.210850_1	Strict	ErmT	99.18	3000595	None	Enterococcus faecium strain ME3 chromosome 	None
RT-13-2	NODE_4_length_5398_cov_1572.527793_5	Strict	ErmT	99.18	3000595	"lnuB, tet(L)"	"Enterococcus faecium strain 37BA plasmid pEf37BA, complete."	Streptococcus suis (chromosome or plasmid): 19
UC-20-1	NODE_605_length_3252_cov_54.374726_2	Strict	ErmT	99.18	3000595	tet(45)	Streptococcus gallolyticus strain FDAARGOS_666 chromosome 	Streptococcus suis (chromosome or plasmid): 1
RT-14-2	NODE_20_length_3302_cov_65.419464_2	Strict	ErmT	99.18	3000595	tet(45)	Streptococcus gallolyticus strain FDAARGOS_666 chromosome	Klebsiella pneumoniae (chromosome or plasmid): 2
RT-15-2	NODE_150_length_1026_cov_100.629248_1	Strict	ErmT	99.18	3000595	None	Streptococcus gallolyticus strain FDAARGOS_666 chromosome	None
RT-17-2	NODE_376_length_758_cov_2.102418_1	Strict	ErmX	97.26	3000596	None	"Rothia mucilaginosa strain FDAARGOS_369 chromosome, complet"	Corynebacterium diphtheriae (chromosome): 2
RT-23-1	NODE_1_length_9303_cov_2930.510813_7	Strict	ErmX	90.14	3000596	None	"Bifidobacterium kashiwanohense JCM 15439 = DSM 21854 DNA,."	Corynebacterium diphtheriae (chromosome): 597
UC-26-1	NODE_42_length_1229_cov_6.087734_2	Strict	ErmX	90.49	3000596	None	Corynebacterium diphtheriae isolate FRC0402 genome assembly	Corynebacterium diphtheriae (chromosome): 2
UC-27-2	NODE_102_length_1075_cov_2.284314_1	Strict	ErmX	89.53	3000596	None	"Corynebacterium striatum strain 216 chromosome, complete genome"	None
RT-30-1	NODE_79_length_1120_cov_3.116432_1	Strict	ErmX	81.34	3000596	None	"Dermabacter vaginalis strain FDAARGOS_640 chromosome, complete"	Corynebacterium jeikeium (chromosome): 6
RT-30-2	NODE_2227_length_714_cov_1.881639_1	Strict	ErmX	98.09	3000596	None	"Corynebacterium striatum strain KC-Na-01, complete genome"	None
RT-31-1	NODE_29_length_2292_cov_61.233795_2	Strict	ErmX	90.14	3000596	None	"Corynebacterium striatum strain 216 chromosome, complete genome"	Corynebacterium diphtheriae (chromosome): 4
RT-31-2	NODE_19_length_3571_cov_668.201650_2	Strict	ErmX	90.14	3000596	None	"Bifidobacterium choerinum strain FMB-1 chromosome, complete"	Bifidobacterium longum (chromosome): 32
UC-31-2	NODE_34_length_2146_cov_58.559541_2	Strict	ErmX	90.14	3000596	None	"Corynebacterium striatum strain 216 chromosome, complete genome"	Corynebacterium jeikeium (chromosome): 2
UC-32-2	NODE_69_length_1972_cov_17.877413_3	Strict	ErmX	90.14	3000596	None	"Bifidobacterium kashiwanohense JCM 15439 = DSM 21854 DNA,..."	Corynebacterium diphtheriae (chromosome): 4
UC-33-2	NODE_258_length_1026_cov_3.692070_1	Strict	ErmX	97.72	3000596	None	"Corynebacterium propinquum strain PC1113 chromosome, complete."	Corynebacterium diphtheriae (chromosome): 5
UC-34-2	NODE_198_length_908_cov_3.289566_1	Strict	ErmX	89.79	3000596	None	"Bifidobacterium breve strain DRBB26 chromosome, complete genome"	None
RT-33-1	NODE_140_length_1163_cov_5.273466_2	Strict	ErmX	86.97	3000596	None	Corynebacteriaceae bacterium 'ARUP UnID 227' isolate..	Corynebacterium jeikeium (chromosome): 8
RT-33-2	NODE_306_length_644_cov_1.641766_1	Strict	ErmX	96.73	3000596	None	"Rothia mucilaginosa strain FDAARGOS_369 chromosome, complete.."	Corynebacterium diphtheriae (chromosome): 1
UC-2-1	NODE_57_length_2758_cov_17.382908_2	Strict	ErmX	90.14	3000596	None	"Bifidobacterium longum strain D2TC chromosome, complete genome"	Corynebacterium diphtheriae (chromosome): 15
RT-3-2	NODE_36_length_2065_cov_83.150746_2	Strict	ErmX	90.14	3000596	None	"Corynebacterium striatum strain 216 chromosome, complete genome"	Corynebacterium diphtheriae (chromosome): 6
RT-5-1	NODE_1_length_10478_cov_709.905402_2	Strict	ErmX	90.14	3000596	"mdtE, mdtF, gadX"	"Escherichia coli O113:H21 strain FWSEC0010 chromosome, complet."	Corynebacterium diphtheriae (chromosome): 1
UC-3-2	NODE_124_length_730_cov_1.905185_1	Strict	ErmX	88.02	3000596	None	"Corynebacterium urealyticum strain NCTC12011 genome assembly,."	Trueperella pyogenes (chromosome): 2
UC-4-2	NODE_83_length_1476_cov_37.977481_2	Strict	ErmX	90.14	3000596	None	"Corynebacterium striatum strain 216 chromosome, complete genome"	Corynebacterium jeikeium (chromosome): 5
UC-5-2	NODE_64_length_1239_cov_6.706926_2	Strict	ErmX	90.14	3000596	None	"Rothia mucilaginosa strain FDAARGOS_369 chromosome, complete"	Corynebacterium diphtheriae (chromosome): 7
UC-6-1	NODE_73_length_8652_cov_1407.179249_3	Strict	ErmX	90.14	3000596	None	"Bifidobacterium kashiwanohense JCM 15439 = DSM 21854 DNA,.."	Corynebacterium diphtheriae (chromosome): 240
UC-6-2	NODE_23_length_3204_cov_2298.540807_2	Strict	ErmX	90.14	3000596	None	"Bifidobacterium kashiwanohense JCM 15439 = DSM 21854 DNA,.."	Corynebacterium diphtheriae (chromosome): 158
UC-8-2	NODE_103_length_1081_cov_3.187135_1	Strict	ErmX	90.14	3000596	None	"Rothia mucilaginosa strain FDAARGOS_369 chromosome, complete."	Corynebacterium diphtheriae (chromosome): 2
RT-6-2	NODE_48_length_1704_cov_53.348090_2	Strict	ErmX	90.14	3000596	None	"Corynebacterium striatum strain 216 chromosome, complete genome"	Bifidobacterium longum (chromosome): 1
RT-7-2	NODE_83_length_1962_cov_15.783954_2	Strict	ErmX	90.14	3000596	None	"Corynebacterium striatum strain 216 chromosome, complete genome"	Corynebacterium diphtheriae (chromosome): 2
RT-8-2	NODE_54_length_1360_cov_40.544061_1	Strict	ErmX	90.14	3000596	None	"Rothia mucilaginosa strain FDAARGOS_369 chromosome, complete"	Corynebacterium diphtheriae (chromosome): 74
UC-11-1	NODE_11_length_4361_cov_114.708314_4	Strict	ErmX	90.14	3000596	None	"Bifidobacterium kashiwanohense JCM 15439 = DSM 21854 DNA,..."	Bifidobacterium longum (chromosome): 11
UC-11-2	NODE_31_length_2324_cov_110.321287_2	Strict	ErmX	90.14	3000596	None	"Bifidobacterium kashiwanohense JCM 15439 = DSM 21854 DNA,."	Corynebacterium diphtheriae (chromosome): 6
RT-10-2	NODE_7_length_13129_cov_702.887028_10	Strict	ErmX	90.14	3000596	None	"Bifidobacterium breve strain 1101A chromosome, complete genome "	Corynebacterium diphtheriae (chromosome): 198
RT-11-1	NODE_18_length_3195_cov_984.860510_1	Strict	ErmX	89.24	3000596	None	"Bifidobacterium breve strain DRBB26 chromosome, complete genome"	Bifidobacterium longum (chromosome): 125
RT-11-2	NODE_53_length_1806_cov_8.515134_2	Strict	ErmX	90.14	3000596	None	"Bifidobacterium kashiwanohense JCM 15439 = DSM 21854 DNA,..."	Corynebacterium diphtheriae (chromosome): 1
UC-14-1	NODE_70_length_1287_cov_2.737825_2	Strict	ErmX	90	3000596	None	"Corynebacterium propinquum strain PC1113 chromosome, complete."	None
RT-12-1	NODE_8_length_4570_cov_618.343300_2	Strict	ErmX	89.44	3000596	None	"Bifidobacterium bifidum strain BF3, complete genome  "	Corynebacterium diphtheriae (chromosome): 65
RT-12-2	NODE_29_length_3165_cov_548.377814_3	Strict	ErmX	90.14	3000596	None	"Bifidobacterium bifidum strain BF3, complete genome      "	Corynebacterium diphtheriae (chromosome): 29
UC-17-2	NODE_40_length_849_cov_3.529412_1	Strict	ErmX	90.15	3000596	None	"Corynebacterium urealyticum strain NCTC12011 genome assembly,"	None
UC-18-1	NODE_171_length_1108_cov_6.744539_1	Strict	ErmX	90.14	3000596	None	"Corynebacterium propinquum strain PC1113 chromosome, complete"	Corynebacterium diphtheriae (chromosome): 10
UC-18-2	NODE_161_length_2739_cov_1020.788003_2	Strict	ErmX	90.14	3000596	None	Bifidobacterium kashiwanohense JCM 15439 = DSM 21854 DNA	Corynebacterium jeikeium (chromosome): 284
UC-19-2	NODE_68_length_1451_cov_5.845989_2	Strict	ErmX	90.14	3000596	None	"Bifidobacterium kashiwanohense JCM 15439 = DSM 21854 DNA,"	Corynebacterium jeikeium (chromosome): 1
UC-20-2	NODE_66_length_1283_cov_9.730456_2	Strict	ErmX	90.14	3000596	None	"Rothia mucilaginosa strain FDAARGOS_369 chromosome, complete"	Corynebacterium diphtheriae (chromosome): 16
RT-15-1	NODE_100_length_1061_cov_3.315109_1	Strict	ErmX	89.78	3000596	None	"Corynebacterium diphtheriae strain Dongyang chromosome, comple"	None
RT-15-2	NODE_188_length_955_cov_2.435556_1	Strict	ErmX	97.26	3000596	None	"Corynebacterium propinquum strain PC1113 chromosome, complete"	Corynebacterium diphtheriae (chromosome): 4
