ARO	Gene Name	Antibiotics	Resistance Mechanism	AMR gene Family	Description	Species	Neg-ext-1	Neg-ext-2	Neg-ext-3	Neg-ext-7	Neg-ext-8
3000589	NDM-1	penam; cephamycin; carbapenem; cephalosporin	antibiotic inactivation	NDM beta-lactamase	NDM-1 is a metallo-beta-lactamase isolated from Klebsiella pneumoniae with nearly complete resistance to all beta-lactam antibiotics.	Klebsiella pneumoniae	0	0	1	1	0
3001396	OXA-1	penam; cephalosporin; carbapenem	antibiotic inactivation	OXA beta-lactamase	OXA-1 is a beta-lactamase found in E. coli.	Klebsiella pneumoniae	1	0	0	0	0
3002505	PDC-6	monobactam; cephalosporin; carbapenem	antibiotic inactivation	PDC beta-lactamase	PDC-6 is a beta-lactamase found in Pseudomonas aeruginosa.	Pseudomonas aeruginosa	0	0	1	1	0
3003578	PmrF	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	"PmrF is required for the synthesis and transfer of 4-amino-4-deoxy-L-arabinose (Ara4N) to Lipid A, which allows gram-negative bacteria to resist the antimicrobial activity of cationic antimicrobial peptides and antibiotics such as polymyxin. pmrF corresponds to 1 locus in Pseudomonas aeruginosa PAO1 and 1 locus in Pseudomonas aeruginosa LESB58."	Escherichia coli str. K-12 substr. MG1655	1	1	1	1	1
3005010	qacEdelta1	disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	QacEdelta1 is a resistance gene conferring resistance to antiseptics. It is different from QacE only at the 3'-terminus.	Pseudomonas aeruginosa	1	1	1	1	0
3002714	QnrB1	fluoroquinolone antibiotic	antibiotic target protection	quinolone resistance protein (qnr)	QnrB1 is a plasmid-mediated quinolone resistance protein found in Klebsiella pneumoniae.	Klebsiella pneumoniae	1	0	0	0	0
3002895	SAT-2	nucleoside antibiotic	antibiotic inactivation	streptothricin acetyltransferase (SAT)	"SAT-2 is a plasmid-mediated streptothricin acetyltransferase, which confers resistance to streptothricin, a nucleoside antibiotic. Originally described from an E. coli plasmid sequence by Heim et al., 1989."	Escherichia coli	0	0	1	0	0
3001070	SHV-11	carbapenem; penam; cephalosporin	antibiotic inactivation	SHV beta-lactamase	"SHV-11 is a broad-spectrum beta-lactamase found in E. coli, Klebsiella pneumoniae, Proteus mirabilis, and Shigella dysenteriae."	Klebsiella pneumoniae	0	0	1	0	0
3001159	SHV-110	carbapenem; penam; cephalosporin	antibiotic inactivation	SHV beta-lactamase	SHV-110 is a beta-lactamase found in Klebsiella pneumoniae.	Klebsiella pneumoniae	0	1	0	0	1
3000410	sul1	sulfonamide antibiotic	antibiotic target replacement	sulfonamide resistant sul	Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.	Vibrio fluvialis	1	1	1	1	0
3000412	sul2	sulfonamide antibiotic	antibiotic target replacement	sulfonamide resistant sul	"Sul2 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria, usually found on small plasmids."	Vibrio cholerae	1	1	1	1	1
3000413	sul3	sulfonamide antibiotic	antibiotic target replacement	sulfonamide resistant sul	Sul3 is a sulfonamide resistant dihydropteroate synthase similar to Sul1 and Sul2. Its resistance gene was found encoded in E. coli plasmid DNA of sulfonamide resistant isolates.	Escherichia coli	1	0	0	0	0
3000979	TEM-116	penam; penem; cephalosporin; monobactam	antibiotic inactivation	TEM beta-lactamase	TEM-116 is a broad-spectrum beta-lactamase found in many species of bacteria.	Staphylococcus aureus	1	1	0	1	1
3005260	TEM-229	penam; penem; cephalosporin; monobactam	antibiotic inactivation	TEM beta-lactamase	TEM-229 is a beta-lactamase.	"Bacteria, Viruses, Fungi, and other genome sequence associated with antimicrobial resistance"	0	0	1	0	0
3000567	tet(40)	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	Tet40 is a tetracycline efflux pump found in the Gram-positive Clostridium. It is similar to tetA(P).	uncultured bacterium	0	1	0	1	0
3003196	tet(45)	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	Tet45 is a tetracycline efflux pump found in Bhargavaea cecembensis strain previously isolated from a poultry-litter-impacted soil.	Bhargavaea cecembensis	1	1	0	0	0
3000168	tet(D)	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	TetD is a tetracycline efflux pump found exclusively in Gram-negative bacteria.	Shigella flexneri Y	1	0	1	1	0
3004442	tet(W/N/W)	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	tet(W/N/W) is a mosaic tetracycline resistance gene and ribosomal protection protein.	uncultured bacterium IN-02	0	0	1	1	1
3004720	Tet(X4)	glycylcycline; tetracycline antibiotic	antibiotic inactivation	tetracycline inactivation enzyme	"A tetracyline resistance gene located on an approximately 180-kb plasmid, designated p47EC. It inactivates all tetracyclines, including tigecycline, eravacycline, and omadacycline.Adjacent to insertion sequence ISVsa3 on the conjugative plasmid."	Escherichia coli	0	1	0	0	0
3000195	tetB(P)	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	"TetB(P) is a tetracycline ribosomal protection protein found on the same operon as tetA(P), a tetracycline efflux protein."	Clostridium perfringens	0	0	1	0	0
3000186	tetM	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	TetM is a ribosomal protection protein that confers tetracycline resistance. It is found on transposable DNA elements and its horizontal transfer between bacterial species has been documented.	Erysipelothrix rhusiopathiae	1	1	0	0	0
3000191	tetQ	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	TetQ is a ribosomal protection protein. Its gene is associated with a conjugative transposon and has been found in both Gram-positive and Gram-negative bacteria.	Bacteroides fragilis	0	0	1	0	0
3003479	tetR	tetracycline antibiotic	antibiotic efflux; antibiotic target alteration	major facilitator superfamily (MFS) antibiotic efflux pump	TetR is the repressor of the tetracycline resistance element; its N-terminal region forms a helix-turn-helix structure and binds DNA. Binding of tetracycline to TetR reduces the repressor affinity for the tetracycline resistance gene (tetA) promoter operator sites. Mutations arise within tetR results in lower affinity for tetracyclin.	Salmonella enterica subsp. enterica serovar Typhi str. CT18	1	0	1	1	0
3000192	tetS	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	Tet(S) is a ribosomal protection protein found in Gram-positive and Gram-negative strains. It is similar to tet(M) and tet(O).	Listeria monocytogenes	0	1	0	0	0
3002943	vanH gene in vanB cluster	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanH	"Also known as vanHB, is a vanH variant in the vanB gene cluster.; Also known as vanHB, is a vanH variant in the vanB gene cluster."	Enterococcus faecalis	0	1	0	0	0
3002921	vanR gene in vanB cluster	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanR	"Also known as vanRB, is a vanR variant found in the vanB gene cluster.; Also known as vanRB, is a vanR variant found in the vanB gene cluster."	Enterococcus faecalis	0	1	0	0	0
3002922	vanR gene in vanC cluster	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanR	"Also known as vanRC, is a vanR variant found in the vanC gene cluster.; Also known as vanRC, is a vanR variant found in the vanC gene cluster."	Enterococcus gallinarum	0	0	1	0	0
3002932	vanS gene in vanB cluster	glycopeptide antibiotic	antibiotic target alteration	vanS; glycopeptide resistance gene cluster	"Also known as vanSB, is a vanS variant found in the vanB gene cluster.; Also known as vanSB, is a vanS variant found in the vanB gene cluster."	Enterococcus faecalis	0	1	0	0	0
3002964	vanW gene in vanB cluster	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanW	"Also known as vanWB, is a vanW variant found in the vanB gene cluster.; Also known as vanWB, is a vanW variant found in the vanB gene cluster."	Enterococcus faecalis	0	1	0	0	0
3002950	vanX gene in vanB cluster	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanX	"Also known as vanXB, is a vanX variant found in the vanB gene cluster.; Also known as vanXB, is a vanX variant found in the vanB gene cluster."	Enterococcus faecalis	0	1	0	0	0
3002956	vanY gene in vanB cluster	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanY	"Also known as vanYB, is a vanY variant found in the vanB gene cluster.; Also known as vanYB, is a vanY variant found in the vanB gene cluster."	Enterococcus faecalis	0	1	0	0	0
3002843	vatD	streptogramin A antibiotic; streptogramin antibiotic	antibiotic inactivation	streptogramin vat acetyltransferase	vatD is a transposon-mediated acetyltransferase found in Enterococcus faecium.	Enterococcus faecium	1	0	1	1	0
